	class	accuracy	median_saliency_gini	median_ig_gini	median_dl_gini
0	plane	63.5	0.6601426555921668	0.5835169461259102	0.6582948846267933
1	car	66.1	0.644638024798736	0.5673165602733947	0.6487574046605991
2	bird	36.2	0.6658507145870689	0.5817833142667022	0.6675777073122081
3	cat	33.0	0.6412693798954827	0.5707330177749848	0.6430896317326856
4	deer	61.0	0.6629023013612722	0.5719767338449905	0.6666791728878002
5	dog	52.4	0.650747857592003	0.5730910241142309	0.6545900601093062
6	frog	70.3	0.6473944646209131	0.5710091413691535	0.6504537664131175
7	horse	79.8	0.6572188153139613	0.5705282260531983	0.6607920691864905
8	ship	73.9	0.6585868646424882	0.5716670975171345	0.6584118691742438
9	truck	69.6	0.6403039194520164	0.5588784234850026	0.6422522060430491
